"ID","InstitutionID","datasetName","catalogNumber","occurrenceRemarks","recordNumber","recordedBy","sex","otherCatalogNumbers","associatedTaxa","eventID","eventDate","year","month","day","verbatimEventDate","habitat","fieldNumber","fieldNotes","country","stateProvince","county","municipality","locationID","locality","verbatimLocality","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","verbatimCoordinates","verbatimLatitude","verbatimLongitude","substrate","aocr:verbatimScientificName","aocr:verbatimInstitution","decimalLatitude","decimalLongitude","identificationID","identifiedBy","dateIdentified","identificationRemarks","identificationQualifier","taxonID","typeStatus","scientificName","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","basisOfRecord","occurrenceID"
43,,"LICHENS OF FLORIDA","01075814",,"29440","Richard C. Harris",,,,ark:/21547/Fg2_40,"1992-12-01",,,,"1 December 1992","mixed hardwoods over limestone",,,"U.S.A.","FLORIDA","Alachua",,ark:/21547/Fh2_40,,"Paynes Prairie State Preserve, vicinity of Alachua Sink, T.10S., R.20E., sec. 22",,,,"29°37'N, 82°18'W; TRS: T.10S., R.20E., Sec. 22","29°37'N","82°18'W","on Celtis","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","29.617","-82.3",ark:/21547/Fj2_41,,,,,ark:/21547/Fi2_41,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_40
44,,"LICHENS OF FLORIDA","01075815",,"29352","Richard C. Harris",,,,ark:/21547/Fg2_41,"1992-11-30",,,,"30 November 1992","dry oak- ericad scrub with low swampy areas.",,,"U.S.A.","FLORIDA","Levy",,ark:/21547/Fh2_41,,"Cedar Key Scrub State Preserve, along Co. Rd. 347 ca. 1.5 mi N of jct of Fla. Hwy 24",,,,"29°12'N, 83°01'W","29°12'N","83°01'W","on Quercus","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","29.2","-83.017",ark:/21547/Fj2_42,,,,,ark:/21547/Fi2_42,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_41
45,,"CRYPTOGAMS OF FLORIDA","01075816",,"22504","William R. Buck",,,,ark:/21547/Fg2_42,"1992-11-30",,,,"30 November 1992","hardwood-Taxodium swamp forest.",,,"U.S.A.","FLORIDA","Levy",,ark:/21547/Fh2_42,,"Black Point Swamp, along Co. Rd. 326 1.1 mi W of Co. Rd. 347",,,,"29°13'N, 83°02'W","29°13'N","83°02'W",,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","29.217","-83.033",ark:/21547/Fj2_43,,,,,ark:/21547/Fi2_43,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_42
46,,"CRYPTOGAMS OF FLORIDA","01075817",,"27328","William R. Buck",,,,ark:/21547/Fg2_43,"1994-12-03",,,,"3 December 1994","pine scrub around Taxodium swamp.",,,"U.S.A.","FLORIDA","Bradford",,ark:/21547/Fh2_43,,"Lake Butler Wildlife Management Area, Raiford Tract, along Co. Rd. 125, 6.1 mi ENE of US 301 at Lawtey",,,,"30°04'N, 82°09'W","30°04'N","82°09'W",,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","30.067","-82.15",ark:/21547/Fj2_44,,,,,ark:/21547/Fi2_44,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_43
47,,"CRYPTOGAMS OF FLORIDA","01075818",,"27352","William R. Buck",,,,ark:/21547/Fg2_44,"1994-12-03",,,,"3 December 1994","pine scrub around Taxodium swamp. ",,,"U.S.A","FLORIDA","Bradford",,ark:/21547/Fh2_44,,"Lake Butler Wildlife Management Area, Raiford Tract, along Co. Rd. 125, 6.1 mi ENE of US 301 at Lawtey",,,,"30°04'N, 82°09'W","30°04'N","82°09'W","on Myrica cerifera","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","30.067","-82.15",ark:/21547/Fj2_45,,,,,ark:/21547/Fi2_45,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_44
48,,"CRYPTOGAMS OF FLORIDA","01075819",,"27355","William R. Buck",,,,ark:/21547/Fg2_45,"1994-12-03",,,,"3 December 1994","pine scrub around Taxodium swamp.",,,"U.S.A.","FLORIDA","Bradford",,ark:/21547/Fh2_45,,"Lake Butler Wildlife Management Area, Raiford Tract, along Co. Rd. 125, 6.1 mi ENE of US 301 at Lawtey",,,,"30°04'N, 82°09'W","30°04'N","82°09'W",,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","30.067","-82.15",ark:/21547/Fj2_46,,,,,ark:/21547/Fi2_46,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_45
49,,"CRYPTOGAMS OF FLORIDA","01075820",,"27105","William R. Buck",,,,ark:/21547/Fg2_46,"1994-11-29",,,,"29 November 1994","hardwood swamp.",,,"U.S.A.","FLORIDA","Lafayette",,ark:/21547/Fh2_46,,"Along Fla Hwy 51, 5.7 mi S of US 27 at Mayo",,,,"29°59'N, 83°14'W","29°59'N","83°14'W",,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","29.983","-83.233",ark:/21547/Fj2_47,,,,,ark:/21547/Fi2_47,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_46
50,,"LICHENS OF FLORIDA","01075821",,"35643","Richard C. Harris",,,,ark:/21547/Fg2_47,"1994-11-30",,,,"30 November 1994","small trees in calcareous glade in mesic forest",,,"U.S.A.","FLORIDA","Gadsden",,ark:/21547/Fh2_47,,"Chattahoochee, ""Brickyard Glade"", W of W end of River Road off Fla. Hwy. 269, 0.8 mi S of railroad at River Junction",,,,"30°41'N, 84°52'W","30°41'N","84°52'W","on Fraxinus","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","30.683","-84.867",ark:/21547/Fj2_48,,,,,ark:/21547/Fi2_48,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_47
51,,"CRYPTOGAMS OF FLORIDA","01075822",,"27252","William R. Buck",,,,ark:/21547/Fg2_48,"12/1/1994",,,,"1 December 1994","open oak scrub",,,"U.S.A.","FLORIDA","Bay",,ark:/21547/Fh2_48,,"N of Fla Hwy 20, 1.2 mi E of US 231",,,,"30°26'N, 85°24'W","30°26'N","85°24'W","on Rhus","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","30.433","-85.4",ark:/21547/Fj2_49,,,,,ark:/21547/Fi2_49,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_48
52,,"Lichens of Cape St. George","1075823",,"4486","R. Yahr",,,,ark:/21547/Fg2_49,"1998-05-26",,,,"May 26, 1998","on Ilex cassine at pond edge",,,"USA","Florida","Franklin","Cape St. George",ark:/21547/Fh2_49,,"Little St. George Island, Cape St. George. In stable backdunes and swales of barrier island",,,,"29°35'N, 85°03'W","29°35'N","85°03'W",,"Arthopyrenia majuscula (Nyl.) Zahlbr.","New York Botanical Garden","29.583","-85.05",ark:/21547/Fj2_50,"Richard C. Harris, 2003",,,,ark:/21547/Fi2_50,,"Arthopyrenia majuscula (Nyl.) Zahlbr.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_49
53,,,,,,,,,,ark:/21547/Fg2_49,,,,,,,,,,,,,ark:/21547/Fh2_49,,,,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,ark:/21547/Fj2_51,"Richard C. Harris","2003",,,ark:/21547/Fi2_51,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_49
54,,"LICHENS OF FLORIDA","1075827",,"23906","Richard C. Harris",,,,ark:/21547/Fg2_50,"1988-12-17",,,,"17 December 1988","oak scrub grading into coastal hammock",,,"USA","FLORIDA","Duval",,ark:/21547/Fh2_50,,"Big Talbot Island State Park, along trail to ""Scrubby Bluff,"" 1.1 mi from N end of park, 2.2 mi from S end of park",,,,,,,,"Ciferriolichen cinchonae (Ach.)","New York Botanical Garden",,,ark:/21547/Fj2_52,,,,,ark:/21547/Fi2_52,,"Ciferriolichen cinchonae (Ach.)",,,,,,,PreservedSpecimen,ark:/21547/Ff2_50
55,,"LICHENS OF FLORIDA","01075828",,"31614","Richard C. Harris",,,,ark:/21547/Fg2_51,"1993-12-04",,,,"4 December 1993","oak scrub and oak woods near pond.",,,"U.S.A.","FLORIDA","Dixie",,ark:/21547/Fh2_51,,"Steinhatchee Wildlife Management Area, along Andrew Sauls Rd., ca. 0.4 mi N of Co. Rd. 351 just N of Scrub Creek Baptist Church, ca. 6 mi NE of Cross City",,,,"29°41'N, 83°04'W","29°41'N","83°04'W",,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","29.683","-83.067",ark:/21547/Fj2_53,,,,,ark:/21547/Fi2_53,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_51
56,,"LICHENS OF FLORIDA","01075829",,"31719-A","Richard C. Harris",,,,ark:/21547/Fg2_52,"1993-12-05",,,,"5 December 1993","disturbed oak scrub",,,"U.S.A.","FLORIDA","Gilchrist",,ark:/21547/Fh2_52,,"Waccasassa Flats, along Co. Rd. 232 ca. 1 mi W of St. Rd. 47 (ca. 6 mi E of US 129), ca. 8 mi NNE of Trenton",,,,"29°44'N, 82°46'W","29°44'N","82°46'W","on Prunus","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","29.733","-82.767",ark:/21547/Fj2_54,,,,,ark:/21547/Fi2_54,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_52
57,,"LICHENS OF FLORIDA","01075830",,"35959","Richard C. Harris",,,,ark:/21547/Fg2_53,"1994-12-04",,,,"4 December 1994","mature oak woods along river",,,"U.S.A.","FLORIDA","Union",,ark:/21547/Fh2_53,,"Worthington Springs, along Fla. Hwy. 121 just N of Santa Fe River",,,,"29°56'N, 82°26'W","29°56'N","82°26'W","on Fraxinus","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","29.933","-82.433",ark:/21547/Fj2_55,,,,,ark:/21547/Fi2_55,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_53
58,,"LICHENS OF FLORIDA","01075831",,"36046","Richard C. Harris",,,,ark:/21547/Fg2_54,"1994-12-05",,,,"5 December 1994","oak scrub around calcareous sinkhole",,,"U.S.A.","FLORIDA","Suwannee",,ark:/21547/Fh2_54,,"Little River Sink, N of 200th Street, 2 mi W of Co. Rd. 49",,,,"30°05'N, 82°55'W","30°05'N","82°55'W","on Prunus","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","30.083","-82.917",ark:/21547/Fj2_56,,,,,ark:/21547/Fi2_56,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_54
59,,"LICHENS OF FLORIDA","1075837",,"23220","Richard C. Harris",,,,ark:/21547/Fg2_55,"1988-12-01",,,,"1 December 1988","Taxodium-Fraxinus swamp, on Fraxinus",,,"USA","FLORIDA","Franklin",,ark:/21547/Fh2_55,,"Apalachicola National Forest, ca. 2 mi S of Sumatra, Black Creek at end of Forest Serv. Rd. 101A;",,,,,,,,"Ciferriolichen cinchonae (Ach.)","New York Botanical Garden",,,ark:/21547/Fj2_57,,,,,ark:/21547/Fi2_57,,"Ciferriolichen cinchonae (Ach.)",,,,,,,PreservedSpecimen,ark:/21547/Ff2_55
60,,"LICHENS OF FLORIDA","1075839",,"23910","Richard C. Harris",,,,ark:/21547/Fg2_56,"1988-12-17",,,,"17 December 1988","oak scrub grading into coastal hammock",,,"USA","FLORIDA","Duval",,ark:/21547/Fh2_56,,"Big Talbot Island State Park, along trail to ""Scrubby Bluff,"" 1.1 mi from N end of park, 2.2 mi from S end of park",,,,,,,,"Ciferriolichen cinchonae (Ach.)","New York Botanical Garden",,,ark:/21547/Fj2_58,,,,,ark:/21547/Fi2_58,,"Ciferriolichen cinchonae (Ach.)",,,,,,,PreservedSpecimen,ark:/21547/Ff2_56
61,,"LICHENS OF FLORIDA","1075840",,,"Edward M. Wheeler",,,,ark:/21547/Fg2_57,"1988-12-25",,,,"25 Dec 1988","on dead persimmon branches",,,"USA","FLORIDA","Polk",,ark:/21547/Fh2_57,,"Nalcrest, W. Leisure Lane opposite the water tower.",,,,,,,,"Ciferriolichen cinchonae (Ach.)","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_59,,,,,ark:/21547/Fi2_59,,"Ciferriolichen cinchonae (Ach.)",,,,,,,PreservedSpecimen,ark:/21547/Ff2_57
62,,"LICHENS OF FLORIDA","1075841",,,"Edward M. Wheeler",,,,ark:/21547/Fg2_58,"1989-01-21",,,,"21 Jan 1989",,,,"USA","FLORIDA","Polk",,ark:/21547/Fh2_58,,"Walter Heiler Development, E of Nalcrest canal, low pineland.",,,,,,,,"Ciferriolichen cinchonae (Ach.)","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_60,,,,,ark:/21547/Fi2_60,,"Ciferriolichen cinchonae (Ach.)",,,,,,,PreservedSpecimen,ark:/21547/Ff2_58
63,,"LICHENES EXSICCATI","TENN-L-0000001",,,"W. A. Weber",,,,ark:/21547/Fg2_59,"1961-03-01",,,,"1 March 1961","on arkosic boulders, Pinus ponderosa forest",,,"USA","Colorado","BOULDER",,ark:/21547/Fh2_59,,"base of ""Flatirons"", alt. 1900 m, foothills of Front Range just south of Boulder, the type locality of A. boulderensis","1900 m",,,,,,,"Acarospora badiofusca (Nyl.) Th.. Fr.","University of Tennessee (TENN)",,,ark:/21547/Fj2_61,,,,,ark:/21547/Fi2_61,,"Acarospora badiofusca (Nyl.) Th.. Fr.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_59
64,,"Nebraska Lichens","TENN-L-0000002",,,"WALTER KIENER",,,,ark:/21547/Fg2_60,"1936-07-01",,,,"July 1, 1936","Sandstone. Horizontal Surf.",,,"USA","Nebraska","Lancaster",,ark:/21547/Fh2_60,,"Near Lincoln",,,,,,,,"Acarospora cervina (Ach.) Mass","University of Tennessee",,,ark:/21547/Fj2_62,,,,,ark:/21547/Fi2_62,,"Acarospora cervina (Ach.) Mass",,,,,,,PreservedSpecimen,ark:/21547/Ff2_60
65,,"LICHENS OF ARIZONA","TENN-L-0000003",,"2369","H.A. Sierk",,,,ark:/21547/Fg2_61,"1964-07-02",,,,"July 2, 1964","rock",,,"USA","ARIZONA","Cochise",,ark:/21547/Fh2_61,,"Between Portal and Paradise",,,,,,,,"Acarospora flava (Bell.) Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_63,"H. A. Sierk","1964-July-2",,,ark:/21547/Fi2_63,,"Acarospora flava (Bell.) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_61
66,,"LICHENS OF COLORADO","TENN-L-0000004",,"2398","H.A. Sierk",,,,ark:/21547/Fg2_62,"1964-08-23",,,,"August 23, 1964","Alpine tundra; substrate: rock",,,"USA","COLORADO","Clear Creek",,ark:/21547/Fh2_62,,"Summit Lake; Mt. Evans","12,740 ft",,,,,,,"Acarospora flava (Bell.) Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_64,"H.A. Sierk",,,,ark:/21547/Fi2_64,,"Acarospora flava (Bell.) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_62
67,,"FLORA LICHENES","TENN-L-0000006",,,"Walter Kiener",,,,ark:/21547/Fg2_63,"1934-09-14",,,,"Sept.14.1934","on exposed siliceous rocks",,,"USA","COLORADO",,,ark:/21547/Fh2_63,,"Rocky Mountain National Park, Battle Mountain","11,700 ft.",,,,,,,"Acarospora chlorophana (Wahlb.)Mass.","University of Tennessee (TENN)",,,ark:/21547/Fj2_65,,,,,ark:/21547/Fi2_65,,"Acarospora chlorophana (Wahlb.)Mass.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_63
68,,"Lichens of COLORADO","TENN-L-0000007",,,"Walter Kiener",,,,ark:/21547/Fg2_64,,,,,,"On siliceous rocks",,,"U.S.A.","COLORADO",,,ark:/21547/Fh2_64,,"Rocky Mountain National Park, Longs Peak valley","9,100 ft.",,,,,,,"Acarospora fuscata (Schrad.) Arn.","University of Tennessee (TENN)",,,ark:/21547/Fj2_66,,,,,ark:/21547/Fi2_66,,"Acarospora fuscata (Schrad.) Arn.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_64
69,,"Lichens of COLORADO","TENN-L-0000008",,,"Walter Kiener",,,,ark:/21547/Fg2_65,"1937-07-18",,,,"July 18,1937","On ground in climax Elynetum",,,"U.S.A.","COLORADO",,,ark:/21547/Fh2_65,,"Rocky Mountain National Park, Longs Peak","11,650 ft.",,,,,,,"Acarospora Schleicheri (Ach.) Mass.","University of Tennessee (TENN)",,,ark:/21547/Fj2_67,,,,,ark:/21547/Fi2_67,,"Acarospora Schleicheri (Ach.) Mass.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_65
70,,,"TENN-L-0000009",,"358","S. FLOWERS",,,,ark:/21547/Fg2_66,"1951-05-19",,,,"19 MAY 1951","ON HARD SANDSTONE FRAGMENTS WEATHERED OUT OF THE BEDROCK",,,"USA","UTAH","Wayne",,ark:/21547/Fh2_66,,"EKKERS RANCH, 3 MI S OF THE RANCH HOUSE ON BRINK OF CHASM OF FREMONT RIVER","6000 FT.",,,,,,,"ACAROSPORA SMARAGDULA STRIGATA","University of Tennessee (TENN)",,,ark:/21547/Fj2_68,,,,,ark:/21547/Fi2_68,,"ACAROSPORA SMARAGDULA STRIGATA",,,,,,,PreservedSpecimen,ark:/21547/Ff2_66
71,,"FLORA ROCKY MOUNTAIN NATIONAL PARK","TENN-L-0000010",,,"WALTER KIENER",,,,ark:/21547/Fg2_67,"1936-07-25",,,,"July 25, 1936","Crystalline rocks. Exposure W, NW.",,,"USA","COLORADO",,,ark:/21547/Fh2_67,,"ROCKY MOUNTAIN NATIONAL PARK, Exposure W, NW. Longs Peak, top of Trough","13,750 ft.",,,,,,,"Acarospora thamnina (Tuck.) Herre","University of Tennessee (TENN)",,,ark:/21547/Fj2_69,,,,,ark:/21547/Fi2_69,,"Acarospora thamnina (Tuck.) Herre",,,,,,,PreservedSpecimen,ark:/21547/Ff2_67
72,,"Lichenes Lusitaniae selecti exsiccati","TENN-L-0000012",,,"J. L. Lebois Fonseca",,,,ark:/21547/Fg2_68,"1947-07-19",,,,"19-XII-1947",,,,,,,,ark:/21547/Fh2_68,,"Douro Litoral—Aguiar de Sousa: Logar do Salto, ad rupes apri-cas",,,,,,,,"Acarospora hilaris (Duf.) Hue","University of Tennessee (TENN)",,,ark:/21547/Fj2_70,,,,,ark:/21547/Fi2_70,,"Acarospora hilaris (Duf.) Hue",,,,,,,PreservedSpecimen,ark:/21547/Ff2_68
73,,"LICHENES RARIORES ET CRITICI EXSICCATI","TENN-L-0000013",,,"M. Togashi",,,,ark:/21547/Fg2_69,"1969-07-18",,,,"July 18, 1969","on exposed rocks",,,"JAPAN","Hokkaido","Prov. Ishikari",,ark:/21547/Fh2_69,,"Mt. Tomuraushi Daisetsu Mts.","about 2000 m.",,,,,,,"Acroscyphus sphaerophoroides Lev.","University of Tennessee",,,ark:/21547/Fj2_71,"Y. Asahina",,,,ark:/21547/Fi2_71,,"Acroscyphus sphaerophoroides Lev.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_69
74,,"LICHENES RARIORES ET CRITICI EXSICCATI","TENN-L-0000014",,"16298","H. Kashiwadani and Y. Endo",,,,ark:/21547/Fg2_70,"1980-08-05",,,,"August 5, 1980","on rocks",,,"JAPAN","Hokkaido","Ishikari",,ark:/21547/Fh2_70,,"Mt. Chubetsu, Daisetsu Mts.","about 1750 m.",,,,,,,"Acroscyphus sphaerophoroides Lev.","University of Tennessee (TENN)",,,ark:/21547/Fj2_72,"H. Kashiwadani",,,,ark:/21547/Fi2_72,,"Acroscyphus sphaerophoroides Lev.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_70
75,,"Flora of Tennessee Lichens","TENN-L-0000015",,,"A.J. Sharp",,,,ark:/21547/Fg2_71,"1939-11-12",,,,"Nov. 12, 1939","Substratum rock",,,"USA","Tennessee","Cocke",,ark:/21547/Fh2_71,,"White Rocks",,,,,,,,"Actinogyra muhlenbergii (Ach.) Schol.","HERBARIUM OF THE UNIVERSITY OF TENNESSEE",,,ark:/21547/Fj2_73,"H.A. Sierk","1939-November-12",,,ark:/21547/Fi2_73,,"Actinogyra muhlenbergii (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_71
76,,"FLORA OF TENNESSEE","TENN-L-0000016",,"433","Barbara Moore",,,,ark:/21547/Fg2_72,"1963-05-17",,,,"17 May 1963","Substratum Conglomerate",,,"USA","TENNESSEE","Sevier",,ark:/21547/Fh2_72,,"between Cherokee Orchard & Rainbow Falls",,,,,,,,"Actinopyra muhlenberpii (Ach.) Scholander","HERBARIUM OF THE UNIVERSITY OF TENNESSEE",,,ark:/21547/Fj2_74,"Barbara Moore",,,,ark:/21547/Fi2_74,,"Actinopyra muhlenberpii (Ach.) Scholander",,,,,,,PreservedSpecimen,ark:/21547/Ff2_72
77,,"FLORA OF TENNESSEE","TENN-L-0000017",,"249","Barbara Moore",,,,ark:/21547/Fg2_73,"1963-02-03",,,,"3 Feb. 1963","Substratum rock",,,"USA","TENNESSEE","Sevier",,ark:/21547/Fh2_73,,"between Greenbrier Cove and Brushy Mt.",,,,,,,,"Actinopyra muhlenberpii (Ach.) Scholander","HERBARIUM OF THE UNIVERSITY OF TENNESSEE",,,ark:/21547/Fj2_75,"Barbara Moore",,,,ark:/21547/Fi2_75,,"Actinopyra muhlenberpii (Ach.) Scholander",,,,,,,PreservedSpecimen,ark:/21547/Ff2_73
78,,"FLORA OF TENNESSEE","TENN-L-0000018",,"555","Barbara moore",,,,ark:/21547/Fg2_74,"1963-05-17",,,,"17 May 1963","Substratum conglomerate",,,"USA","TENNESSEE","Sevier",,ark:/21547/Fh2_74,,"between Rainbow Falls & Mt. LeConte",,,,,,,,"Actinogyra muhlenbergii (Ach.) Scholander","HERBARIUM OF THE UNIVERSITY OF TENNESSEE",,,ark:/21547/Fj2_76,"Barbara Moore",,,,ark:/21547/Fi2_76,,"Actinogyra muhlenbergii (Ach.) Scholander",,,,,,,PreservedSpecimen,ark:/21547/Ff2_74
79,,"Flora of CANADA","TENN-L-0000019",,,"A.J. Sharp",,,,ark:/21547/Fg2_75,"1954-08-08",,,,"8 Aug 1954",,,,"CANADA","Ontario",,,ark:/21547/Fh2_75,,"Montreal River, 80 mi. nw of Sault Saint Marie",,,,,,,,"Actinogyra","HERBARIUM OF THE UNIVERSITY OF TENNESSEE",,,ark:/21547/Fj2_77,,,,,ark:/21547/Fi2_77,,"Actinogyra",,,,,,,PreservedSpecimen,ark:/21547/Ff2_75
80,,"FLORA OF CANADA","TENN-L-0000020",,,"A.J. Sharp",,,,ark:/21547/Fg2_76,"1954-08-08",,,,"8 Aug 1954",,,,"CANADA","Ontario",,,ark:/21547/Fh2_76,,"Montreal River, 80 mi. nw. of Sault Saint Marie",,,,,,,,"Actinogyra","University of Tennessee (TENN)",,,ark:/21547/Fj2_78,"Date","1954-Aug-8",,,ark:/21547/Fi2_78,,"Actinogyra",,,,,,,PreservedSpecimen,ark:/21547/Ff2_76
81,,"FLORA OF CANADA","TENN-L-0000021",,,"A.J. Sharp",,,,ark:/21547/Fg2_77,"1954-08-08",,,,"8 Aug 1954",,,,"CANADA","Ontario",,,ark:/21547/Fh2_77,,"Montreal River, 80 mi. nw. of Sault Saint Marie",,,,,,,,"Actinogyra muhlenbergii","HERBARIUM OF THE UNIVERSITY OF TENNESSEE",,,ark:/21547/Fj2_79,"Date",,,,ark:/21547/Fi2_79,,"Actinogyra muhlenbergii",,,,,,,PreservedSpecimen,ark:/21547/Ff2_77
82,,"FLORA OF CANADA","TENN-L-0000022",,,"A.J. Sharp",,,,ark:/21547/Fg2_78,"1955-07-23",,,,"23 July 1955",,,,"CANADA","Ontario",,,ark:/21547/Fh2_78,,"Chippewa Falls",,,,,,,,"Actinogyra muhlenbergii","HERBARIUM OF THE UNIVERSITY OF TENNESSEE",,,ark:/21547/Fj2_80,"Vidi ISAO Yoshimura",,,,ark:/21547/Fi2_80,,"Actinogyra muhlenbergii",,,,,,,PreservedSpecimen,ark:/21547/Ff2_78
83,,"LICHENS OF ONTARIO","TENN-L-0000027",,"675","H. A. Sierk",,,,ark:/21547/Fg2_79,"1957-08-01",,,,"Aug. 1, 1957","on rock",,,,"ONTARIO",,,ark:/21547/Fh2_79,,"Montreal River on Hwy. 17",,,,,,,,"Actinogyra mulhlenbergii (Ach.) Schol.","University of Tennessee (TENN)",,,ark:/21547/Fj2_81,"H. A. Sierk",,,,ark:/21547/Fi2_81,,"Actinogyra mulhlenbergii (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_79
84,,"LICHENS OF ONTARIO","TENN-L-0000028",,"644","H.A. Sierk",,,,ark:/21547/Fg2_80,"1957-08-01",,,,"Aug. 1, 1957","on rock",,,,,"ONTARIO",,ark:/21547/Fh2_80,,"Agawa Bay",,,,,,,,"Actinogyra muhlenburgii (Ach.) Schol.","University of Tennessee (TENN)",,,ark:/21547/Fj2_82,"H. A. Sierk",,,,ark:/21547/Fi2_82,,"Actinogyra muhlenburgii (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_80
85,,"LICHENS OF NORTH AMERICA","TENN-L-0000029",,,"Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura",,,,ark:/21547/Fg2_81,"1965-10-30",,,,"Oct. 30, 1965",,,,"USA","NORTH CAROLINA","Macon","NORTH AMERICA",ark:/21547/Fh2_81,,"Highlands, National forest",,,,,,,,"Actinogyra muhlenbergii 1 (Ach.) Schol.","University of Tennessee (TENN)",,,ark:/21547/Fj2_83,,,,,ark:/21547/Fi2_83,,"Actinogyra muhlenbergii 1 (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_81
86,,,"TENN-L-0000030",,,"A. J. Sharp",,,,ark:/21547/Fg2_82,"1955-07-23",,,,"July 23, 1955",,,,,,,,ark:/21547/Fh2_82,,"Montreal River on Lake Superior",,,,,,,,"Actinogyra muhlenbergrii (Ach.) Soho","University of Tennessee (TENN)",,,ark:/21547/Fj2_84,"H. A. Sierk",,,,ark:/21547/Fi2_84,,"Actinogyra muhlenbergrii (Ach.) Soho",,,,,,,PreservedSpecimen,ark:/21547/Ff2_82
87,,"LICHENS OF ONTARIO","TENN-L-0000032",,"595","H. A. Sierk",,,,ark:/21547/Fg2_83,"1957-08-01",,,,"Aug. 1, 1957","on Rock",,,"Canada","ONTARIO",,,ark:/21547/Fh2_83,,"Alona bay on Hwy. 17",,,,,,,,"Actinogyra muhlenbergii (Ach.) Schol.","University of Tennessee (TENN)",,,ark:/21547/Fj2_85,"H. A. Sierk",,,,ark:/21547/Fi2_85,,"Actinogyra muhlenbergii (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_83
